DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	19q13.11	19	32865985	CCDC123, ECAT8, SLC7A9	SLC7A9			ENSG00000021488	NA	NA	rs12460876-C	rs12460876	0	12460876	intron_variant	0	0.39	3E-15	14.5228787452803	(eGFRcrea)	0.01	[0.006-0.01] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	6q25.3	6	160247357	SLC22A2	SLC22A2			ENSG00000112499	NA	NA	rs2279463-G	rs2279463	0	2279463	intron_variant	0	0.12	6E-12	11.2218487496164	(eGFRcrea)	0.01	[0.009-0.017] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	12p13.33	12	240132	SLC6A13, JARID1A, SLC6A12	SLC6A13			ENSG00000010379	NA	NA	rs10774021-C	rs10774021	0	10774021	intron_variant	0	0.36	1E-9	9	(eGFRcrea)	1.05	[0.006-0.010] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	6p21.1	6	43838872	VEGFA	AL157371.2			ENSG00000283573	NA	NA	rs881858-G	rs881858	0	881858	intron_variant	0	0.28	9E-14	13.0457574905607	(eGFRcrea)	1.08	[0.007-0.015] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	7q36.1	7	151710715	PRKAG2	PRKAG2			ENSG00000106617	NA	NA	rs7805747-A	rs7805747	0	7805747	intron_variant	0	0.24	4E-12	11.397940008672	(CKD)	1.18	[1.12-1.25]	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	11q13.1	11	65739351	RNASEH2C, KAT5, OVOL1	KRT8P26 - AP001266.2	ENSG00000214659	ENSG00000255557		11137	6378	rs4014195-G	rs4014195	0	4014195	intergenic_variant	1	0.35	1E-7	7	(eGFRcrea)	0.01	[0.006-0.010] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	2p13.1	2	73641201	NAT8, NAT8B, ALMS1	ALMS1P1, NAT8			ENSG00000163016, ENSG00000144035	NA	NA	rs13538-G	rs13538	0	13538	missense_variant	0	0.23	5E-14	13.301029995664	(eGFRcrea)	0.01	[0.005-0.013] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	7q11.23	7	77787122	PHTF2, RSBN1L, TMEM60	RSBN1L - TMEM60	ENSG00000187257	ENSG00000135211		4100	6606	rs6465825-C	rs6465825	0	6465825	intergenic_variant	1	0.39	2E-9	8.69897000433602	(eGFRcrea)	0.01	[0.006-0.01] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	4q21.1	4	76447694	CCDC158, SHROOM3	SHROOM3			ENSG00000138771	NA	NA	rs17319721-A	rs17319721	0	17319721	intron_variant	0	0.43	1E-19	19	(eGFRcrea)	NA		Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	15q21.1	15	45349027	SPATA5L1, GATM	AC051619.2 - RNU6-953P	ENSG00000259433	ENSG00000238941		16393	5752	rs2453533-?	rs2453533	0	2453533	intergenic_variant	1	0.38	5E-22	21.301029995664	(eGFRcrea)	NA		Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	16p12.3	16	20356368	UMOD, ACSM5, GP2, PDILT	UMOD - PDILT	ENSG00000169344	ENSG00000169340		67	2807	rs12917707-T	rs12917707	0	12917707	intergenic_variant	1	0.18	1E-20	20	(eGFRcrea)	NA		Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	8p21.2	8	23893638	STC1	STC1 - RNU1-148P	ENSG00000159167	ENSG00000207201		38832	183359	rs10109414-T	rs10109414	0	10109414	regulatory_region_variant	1	0.42	1E-8	8	(eGFRcrea)	NA		Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	20p11.21	20	23632100	CST9, CST3, CST4	CST3, AL121894.2			ENSG00000101439, ENSG00000270001	NA	NA	rs911119-?	rs911119	0	911119	non_coding_transcript_exon_variant	0	0.21	2E-138	137.698970004336	(eGFRcys)	NA		Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	2p23.3	2	27508073	FNDC4, IFT172, GCKR	GCKR			ENSG00000084734	NA	NA	rs1260326-T	rs1260326	0	1260326	missense_variant	0	0.41	3E-14	13.5228787452803	(eGFRcrea)	0.01	[0.007-0.011] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	5p13.1	5	39397030	DAB2, C9	DAB2, C9			ENSG00000153071, ENSG00000113600	NA	NA	rs11959928-A	rs11959928	0	11959928	intron_variant	0	0.44	1E-7	7	(eGFRcrea)	0.01	[0.007-0.011] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	5q35.3	5	177390635	RGS14, PRR7, PFN3, GRK6, SLC34A1, F12, LMAN2	SLC34A1			ENSG00000131183	NA	NA	rs6420094-G	rs6420094	0	6420094	intron_variant	0	0.34	1E-14	14	(eGFRcrea)	0.01	[0.007-0.015] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	12q24.12	12	111569952	ATXN2	ATXN2			ENSG00000204842	NA	NA	rs653178-T	rs653178	0	653178	intron_variant	0	0.5	4E-11	10.397940008672	(eGFRcys)	0.01	[0.009-0.017] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-05-05	20383146	Kottgen A	2010-04-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20383146	New loci associated with kidney function and chronic kidney disease.	Chronic kidney disease	Up to 67,093 European ancestry individuals	Up to 22,982 European ancestry individuals	2q34	2	210675783	CPS1	CPS1			ENSG00000021826	NA	NA	rs7422339-A	rs7422339	1	1047891	missense_variant	0	0.32	1E-15	15	(eGFRcrea)	0.01	[0.005-0.013] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2012-05-24	22479191	Pattaro C	2012-03-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22479191	Genome-wide association and functional follow-up reveals new loci for kidney function.	Chronic kidney disease	74,354  European ancestry individuals	56,246 European ancestry individuals	11p14.1	11	30738788	MPPED2	MPPED2-AS1 - AL122014.1	ENSG00000254489	ENSG00000287373		106205	35125	rs3925584-?	rs3925584	0	3925584	intergenic_variant	1	NR	8E-18	17.0969100130081		0.0075	[0.0057-0.0093] ml/min/1.73m^2 decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2012-05-24	22479191	Pattaro C	2012-03-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22479191	Genome-wide association and functional follow-up reveals new loci for kidney function.	Chronic kidney disease	74,354  European ancestry individuals	56,246 European ancestry individuals	2p24.3	2	15722878	DDX1	LINC01804			ENSG00000231031	NA	NA	rs6431731-?	rs6431731	0	6431731	intron_variant	0	NR	4E-8	7.39794000867204		0.0127	[0.0082-0.0172] ml/min/1.73m^2 decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2010-09-11	20686651	Gudbjartsson DF	2010-07-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20686651	Association of variants at UMOD with chronic kidney disease and kidney stones-role of age and comorbid diseases.	Chronic kidney disease and serum creatinine levels	1,689 European ancestry cases, 37,076 European ancestry controls	1,972 European ancestry cases, 6,125 European ancestry controls	16p12.3	16	20353266	UMOD	UMOD			ENSG00000169344	NA	NA	rs4293393-T	rs4293393	0	4293393	intron_variant	0	0.798	4E-10	9.39794000867204	(CKD)	1.25	[1.17-1.35]	Illumina [~ 2500000] (imputed)	N
2010-09-11	20686651	Gudbjartsson DF	2010-07-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20686651	Association of variants at UMOD with chronic kidney disease and kidney stones-role of age and comorbid diseases.	Chronic kidney disease and serum creatinine levels	1,689 European ancestry cases, 37,076 European ancestry controls	1,972 European ancestry cases, 6,125 European ancestry controls	5p12	5	45197677	NR	AC114954.1 - AC116350.1	ENSG00000248148	ENSG00000287540		99030	28609	rs10941694-A	rs10941694	0	10941694	intergenic_variant	1	0.06	9E-6	5.04575749056067	(CKD)	1.35	[1.19-1.56]	Illumina [~ 2500000] (imputed)	N
2010-09-11	20686651	Gudbjartsson DF	2010-07-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20686651	Association of variants at UMOD with chronic kidney disease and kidney stones-role of age and comorbid diseases.	Chronic kidney disease and serum creatinine levels	1,689 European ancestry cases, 37,076 European ancestry controls	1,972 European ancestry cases, 6,125 European ancestry controls	3p24.3	3	23052083	NR	SALL4P5 - RPL24P7	ENSG00000231915	ENSG00000215016		60501	82289	rs9310709-C	rs9310709	0	9310709	regulatory_region_variant	1	0.41	2E-6	5.69897000433602	(CKD)	1.15	[1.09-1.22]	Illumina [~ 2500000] (imputed)	N
2010-09-11	20686651	Gudbjartsson DF	2010-07-29	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20686651	Association of variants at UMOD with chronic kidney disease and kidney stones-role of age and comorbid diseases.	Chronic kidney disease and serum creatinine levels	1,689 European ancestry cases, 37,076 European ancestry controls	1,972 European ancestry cases, 6,125 European ancestry controls	3q12.1	3	99547493	NR	AC107029.1 - AC107029.2	ENSG00000243089	ENSG00000244464		17508	50571	rs13070584-T	rs13070584	0	13070584	intergenic_variant	1	0.05	2E-6	5.69897000433602	(CKD)	1.42	[1.23-1.65]	Illumina [~ 2500000] (imputed)	N
2009-05-27	19430482	Kottgen A	2009-05-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19430482	Multiple loci associated with indices of renal function and chronic kidney disease.	Renal function and chronic kidney disease	2,388 European ancestry cases, 17,489 European ancestry controls	1,932 cases, 19,534 controls	16p12.3	16	20356368	UMOD	UMOD - PDILT	ENSG00000169344	ENSG00000169340		67	2807	rs12917707-T	rs12917707	0	12917707	intergenic_variant	1	0.18	5E-16	15.301029995664	(eGFRcrea)	0.02	[0.014-0.022] ml/min/1.73m2 increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2009-05-27	19430482	Kottgen A	2009-05-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19430482	Multiple loci associated with indices of renal function and chronic kidney disease.	Renal function and chronic kidney disease	2,388 European ancestry cases, 17,489 European ancestry controls	1,932 cases, 19,534 controls	15q21.1	15	45406595	SPATA5L1, GATM	SPATA5L1			ENSG00000171763	NA	NA	rs2467853-G	rs2467853	0	2467853	intron_variant	0	0.38	6E-14	13.2218487496164	(eGFRcrea)	0.01	[0.009-0.017] ml/min/1.73m2 decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2009-05-27	19430482	Kottgen A	2009-05-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19430482	Multiple loci associated with indices of renal function and chronic kidney disease.	Renal function and chronic kidney disease	2,388 European ancestry cases, 17,489 European ancestry controls	1,932 cases, 19,534 controls	16p12.3	16	20356368	UMOD	UMOD - PDILT	ENSG00000169344	ENSG00000169340		67	2807	rs12917707-G	rs12917707	0	12917707	intergenic_variant	1	0.82	2E-12	11.698970004336	(CKD)	1.25	[1.18-1.33]	Affymetrix, Illumina [~ 2500000] (imputed)	N
2009-05-27	19430482	Kottgen A	2009-05-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19430482	Multiple loci associated with indices of renal function and chronic kidney disease.	Renal function and chronic kidney disease	2,388 European ancestry cases, 17,489 European ancestry controls	1,932 cases, 19,534 controls	4q21.1	4	76447694	SHROOM3	SHROOM3			ENSG00000138771	NA	NA	rs17319721-A	rs17319721	0	17319721	intron_variant	0	0.44	1E-12	12	(eGFRcrea)	0.01	[0.008-0.016] ml/min/1.73m2 decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2014-08-05	24351856	Nanayakkara S	2013-12-18	J Occup Health	www.ncbi.nlm.nih.gov/pubmed/24351856	An integrative study of the genetic, social and environmental determinants of chronic kidney disease characterized by tubulointerstitial damages in the North Central Region of Sri Lanka.	Chronic kidney disease	301 Sri Lankan Sinhalese ancestry cases, 276 Sri Lankan Sinhalese ancestry controls	NA	20q13.12	20	46659814	SLC13A3	SLC13A3			ENSG00000158296	NA	NA	rs6066043-G	rs6066043	0	6066043	intron_variant	0	0.62	2E-9	8.69897000433602		2.13	[NR]	Illumina [543848]	N
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	2q24.3	2	163327819	FIGN	RNU6-627P - FIGN	ENSG00000200902	ENSG00000182263		38723	265577	rs1032843-T	rs1032843	0	1032843	intergenic_variant	1	0.07	6E-6	5.22184874961636		0.1174	[0.067-0.168] unit increase	Affymetrix, Illumina [~ 2500000] (imputed)	N
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	11p11.2	11	47325172	MADD	MADD			ENSG00000110514	NA	NA	rs11039182-T	rs11039182	0	11039182	intron_variant	0	0.7	3E-6	5.52287874528034		0.0678	[0.040-0.096] unit decrease	Affymetrix, Illumina [~ 2500000] (imputed)	N
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	2q34	2	210675783	CPS1	CPS1			ENSG00000021826	NA	NA	rs7422339-A	rs7422339	1	1047891	missense_variant	0	0.32	8E-9	8.09691001300806		1.11	[1.07-1.15]	Affymetrix, Illumina [~ 2500000] (imputed)	N
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	4q21.1	4	76447694	SHROOM3	SHROOM3			ENSG00000138771	NA	NA	rs17319721-A	rs17319721	0	17319721	intron_variant	0	0.43	8E-6	5.09691001300806		1.07	[1.04-1.10]	Affymetrix, Illumina [~ 2500000] (imputed)	N
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	5q35.3	5	177390635	SLC34A1	SLC34A1			ENSG00000131183	NA	NA	rs6420094-G	rs6420094	0	6420094	intron_variant	0	0.34	4E-9	8.39794000867204		1.098901	[1.06-1.14]	Affymetrix, Illumina [~ 2500000] (imputed)	N
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	7q36.1	7	151710715	PRKAG2	PRKAG2			ENSG00000106617	NA	NA	rs7805747-A	rs7805747	0	7805747	intron_variant	0	0.25	2E-14	13.698970004336		1.16	[1.11-1.20]	Affymetrix, Illumina [~ 2500000] (imputed)	N
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	10p15.3	10	1019770	WDR37	GTPBP4, IDI2			ENSG00000107937, ENSG00000148377	NA	NA	rs1044261-T	rs1044261	0	1044261	stop_gained	0	0.08	4E-7	6.39794000867204		1.15	[1.09-1.22]	Affymetrix, Illumina [~ 2500000] (imputed)	N
2016-11-25	26831199	Pattaro C	2016-01-21	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26831199	Genetic associations at 53 loci highlight cell types and biological pathways relevant for kidney function.	Chronic kidney disease	12,385 European ancestry cases, 104,780 European ancestry controls	33,972 European ancestry individuals	11p14.1	11	30727543	MPPED2	MPPED2-AS1 - AL122014.1	ENSG00000254489	ENSG00000287373		94960	46370	rs963837-T	rs963837	0	963837	intergenic_variant	1	0.54	9E-8	7.04575749056067		1.09	[1.05-1.12]	Affymetrix, Illumina [~ 2500000] (imputed)	N
