Gene stable ID	Human gene stable ID	Human gene name	Gene name
ENSMUSG00000089190	ENSG00000212228	AC009121.2	Gm25771
ENSMUSG00000070080	ENSG00000208001	MIR431	Mir431
ENSMUSG00000084653	ENSG00000238680	RNU6-1037P	Gm26091
ENSMUSG00000088394	ENSG00000202313	RNU1-64P	Gm26312
ENSMUSG00000065111	ENSG00000252035	RNU6-397P	Gm25141
ENSMUSG00000088242	ENSG00000251992	SCARNA17	Gm25913
ENSMUSG00000087800	ENSG00000212228	AC009121.2	Gm25569
ENSMUSG00000089485	ENSG00000252827	RN7SKP11	Gm24734
ENSMUSG00000065431	ENSG00000207721	MIR186	Mir186
ENSMUSG00000065583	ENSG00000207739	MIR218-2	Mir218-2
ENSMUSG00000084642	ENSG00000222761	RNU6-684P	Gm24384
ENSMUSG00000084604	ENSG00000202293	SNORD114-22	Gm22205
ENSMUSG00000084604	ENSG00000272344	SNORD114-21	Gm22205
ENSMUSG00000084604	ENSG00000200636	SNORD114-27	Gm22205
ENSMUSG00000084604	ENSG00000201240	SNORD114-9	Gm22205
ENSMUSG00000084604	ENSG00000201899	SNORD114-24	Gm22205
ENSMUSG00000077277	ENSG00000201813	RNU6-915P	Gm22783
ENSMUSG00000088519	ENSG00000200191	AC104012.1	Gm24439
ENSMUSG00000104856	ENSG00000238297	AC005046.1	Rnu3b3
ENSMUSG00000104856	ENSG00000221633	AC016948.1	Rnu3b3
ENSMUSG00000104856	ENSG00000221400	SNORD3J	Rnu3b3
ENSMUSG00000064451	ENSG00000201998	SNORA23	Snora23
ENSMUSG00000088022	ENSG00000251982	RN7SKP43	Gm49799
ENSMUSG00000094438	ENSG00000212428	AC124303.1	Gm23618
ENSMUSG00000094438	ENSG00000212528	SNORD115-47	Gm23618
ENSMUSG00000065074	ENSG00000201273	RNU6-776P	Gm24535
ENSMUSG00000065074	ENSG00000201919	RNU6-1022P	Gm24535
ENSMUSG00000065074	ENSG00000200152	RNU6-216P	Gm24535
ENSMUSG00000089147	ENSG00000239007	RNU7-95P	Gm25267
ENSMUSG00000088954	ENSG00000277209	RPPH1	Gm24943
ENSMUSG00000084487	ENSG00000199942	SNORD114-19	Gm23787
ENSMUSG00000084487	ENSG00000202270	SNORD114-12	Gm23787
ENSMUSG00000064853	ENSG00000200816	SNORA38	Gm23442
ENSMUSG00000065608	ENSG00000283990	MIRLET7A3	Mirlet7c-2
ENSMUSG00000077207	ENSG00000251907	RNU6-240P	Gm25609
ENSMUSG00000088895	ENSG00000221420	SNORA81	Gm22519
ENSMUSG00000070103	ENSG00000202609	MIR488	Mir488
ENSMUSG00000088517	ENSG00000200424	RNU6-1155P	Gm24437
ENSMUSG00000065514	ENSG00000208036	MIR106B	Mir106b
ENSMUSG00000077565	ENSG00000212304	SNORD12	Gm23201
ENSMUSG00000077704	ENSG00000212283	SNORD89	Snord89
ENSMUSG00000065132	ENSG00000206718	RNU6-546P	Gm24456
ENSMUSG00000065132	ENSG00000202398	RNU6-61P	Gm24456
ENSMUSG00000098696	ENSG00000278333	AC022028.3	Gm27617
ENSMUSG00000094408	ENSG00000252545	RNU6-362P	Gm24072
ENSMUSG00000080518	ENSG00000221514	SNORD111B	Gm22193
ENSMUSG00000084576	ENSG00000252643	RNU6-1136P	Gm23655
ENSMUSG00000088719	ENSG00000200902	RNU6-627P	Gm22733
ENSMUSG00000065567	ENSG00000199094	MIR30C2	Mir30c-2
ENSMUSG00000094476	ENSG00000212428	AC124303.1	Gm25934
ENSMUSG00000094476	ENSG00000212528	SNORD115-47	Gm25934
ENSMUSG00000096731	ENSG00000207019	RNU6-167P	Gm24316
ENSMUSG00000094214	ENSG00000212457	RNU6-644P	Gm23448
ENSMUSG00000065004	ENSG00000202283	AL591387.1	Gm26326
ENSMUSG00000065004	ENSG00000201827	AC022296.1	Gm26326
ENSMUSG00000095112	ENSG00000207360	RNU6-14P	Gm23712
ENSMUSG00000080478	ENSG00000221803	SNORD23	Snord23
ENSMUSG00000098813	ENSG00000252699	SNORA21B	Gm27326
ENSMUSG00000064526	ENSG00000200560	RNU6-288P	Gm26439
ENSMUSG00000098669	ENSG00000277653	AL354709.2	Gm27580
ENSMUSG00000064915	ENSG00000206733	RNU6-641P	Gm22575
ENSMUSG00000077394	ENSG00000199894	AC093872.1	Gm24339
ENSMUSG00000077394	ENSG00000199231	AC069285.1	Gm24339
ENSMUSG00000098261	ENSG00000239007	RNU7-95P	Gm27521
ENSMUSG00000095713	ENSG00000212428	AC124303.1	Gm26466
ENSMUSG00000095713	ENSG00000212528	SNORD115-47	Gm26466
ENSMUSG00000077515	ENSG00000209042	SNORD12C	Gm25878
ENSMUSG00000094551	ENSG00000206992	RNU6-574P	Gm22392
ENSMUSG00000077685	ENSG00000212498	SNORD86	Gm22498
ENSMUSG00000065130	ENSG00000201524	RNU6-450P	Gm24457
ENSMUSG00000094815	ENSG00000207503	AP001610.1	Gm22615
ENSMUSG00000094815	ENSG00000206799	SNORA32	Gm22615
ENSMUSG00000094815	ENSG00000206776	AC021733.1	Gm22615
ENSMUSG00000094815	ENSG00000201384	AC007375.1	Gm22615
ENSMUSG00000084477	ENSG00000223202	RN7SKP297	Gm25780
ENSMUSG00000084477	ENSG00000201912	RN7SKP189	Gm25780
ENSMUSG00000084477	ENSG00000200472	RN7SKP44	Gm25780
ENSMUSG00000080465	ENSG00000208772	SNORD94	Gm22486
ENSMUSG00000088581	ENSG00000252879	RN7SKP98	Gm22967
ENSMUSG00000084549	ENSG00000201036	AL132709.2	DQ267100
ENSMUSG00000084549	ENSG00000200150	AL132709.1	DQ267100
ENSMUSG00000064970	ENSG00000207104	RNU6-434P	Gm23690
ENSMUSG00000087708	ENSG00000200204	RNU1-22P	Gm23000
ENSMUSG00000087935	ENSG00000221420	SNORA81	Snora81
ENSMUSG00000065464	ENSG00000208023	MIR185	Mir185
ENSMUSG00000094048	ENSG00000212428	AC124303.1	Gm26284
ENSMUSG00000094048	ENSG00000212528	SNORD115-47	Gm26284
ENSMUSG00000065399	ENSG00000283927	MIR133A1	Mir133a-1
ENSMUSG00000088889	ENSG00000206926	RNU6-1024P	Gm24211
ENSMUSG00000080358	ENSG00000252118	RNU6ATAC39P	Gm26249
ENSMUSG00000084674	ENSG00000200379	RN7SKP45	Gm26027
ENSMUSG00000084674	ENSG00000223190	RN7SKP100	Gm26027
ENSMUSG00000088056	ENSG00000212228	AC009121.2	Gm24262
ENSMUSG00000088073	ENSG00000252350	RPPH1-3P	Gm22817
ENSMUSG00000064664	ENSG00000222736	RNU4-6P	Gm24459
ENSMUSG00000065361	ENSG00000277925	AC078802.2	1600017P15Rik
ENSMUSG00000087963	ENSG00000239183	SNORA84	Gm25394
ENSMUSG00000065260	ENSG00000202016	RNU6-619P	Gm23453
ENSMUSG00000095418	ENSG00000212428	AC124303.1	Gm23922
ENSMUSG00000095418	ENSG00000212528	SNORD115-47	Gm23922
ENSMUSG00000096211	ENSG00000207322	RNU1-89P	Gm23330
ENSMUSG00000065221	ENSG00000202245	RNU6-728P	Gm25793
ENSMUSG00000077604	ENSG00000274091	SNORD1C	Snord1b
ENSMUSG00000094003	ENSG00000201355	RNA5S14	n-R5s128
ENSMUSG00000065266	ENSG00000280498	SNORA16A	Gm23454
ENSMUSG00000065266	ENSG00000201544	SNORA16B	Gm23454
ENSMUSG00000065266	ENSG00000201467	AL732371.1	Gm23454
ENSMUSG00000065822	ENSG00000206941	SNORD15A	Snord15a
ENSMUSG00000106272	ENSG00000281159	AC112786.1	Gm22897
ENSMUSG00000065254	ENSG00000201423	RN7SKP246	Gm23973
ENSMUSG00000093073	ENSG00000207816	MIR124-2	Mir124a-2
ENSMUSG00000088172	ENSG00000253003	RNU6-1261P	Gm25217
ENSMUSG00000088322	ENSG00000251908	RNU6-491P	Gm25664
ENSMUSG00000088264	ENSG00000199594	RNU6-1301P	Gm24783
ENSMUSG00000098986	ENSG00000278144	AP000944.4	Gm28006
ENSMUSG00000065320	ENSG00000222777	RNU6-233P	Gm22056
ENSMUSG00000077928	ENSG00000215991	MIR208B	Mir208b
ENSMUSG00000092999	ENSG00000199546	AC121247.1	Gm23921
ENSMUSG00000092999	ENSG00000201371	AC016597.1	Gm23921
ENSMUSG00000065436	ENSG00000199082	MIR342	Mir342
ENSMUSG00000088545	ENSG00000252081	RNU6-277P	Gm25982
ENSMUSG00000088964	ENSG00000252494	RNU6-126P	Gm22087
ENSMUSG00000084708	ENSG00000212228	AC009121.2	Gm22988
ENSMUSG00000098948	ENSG00000276664	AC004542.5	Gm27640
ENSMUSG00000065416	ENSG00000284204	MIR19A	Mir19a
ENSMUSG00000064435	ENSG00000202434	AC010746.1	Gm25588
ENSMUSG00000064435	ENSG00000201133	AC004830.1	Gm25588
ENSMUSG00000084593	ENSG00000222890	RNU6-1068P	Gm22345
ENSMUSG00000094847	ENSG00000212428	AC124303.1	Gm22640
ENSMUSG00000094847	ENSG00000212528	SNORD115-47	Gm22640
ENSMUSG00000065449	ENSG00000199130	MIR365A	Mir365-1
ENSMUSG00000065458	ENSG00000207975	MIR181B1	Mir181b-1
ENSMUSG00000096037	ENSG00000200624	RNA5S6	n-R5s136
ENSMUSG00000095945	ENSG00000212428	AC124303.1	Gm25194
ENSMUSG00000095945	ENSG00000212528	SNORD115-47	Gm25194
ENSMUSG00000084706	ENSG00000222664	RN7SKP123	Gm22987
ENSMUSG00000084706	ENSG00000222460	RN7SKP271	Gm22987
ENSMUSG00000088106	ENSG00000200250	RNU6-1147P	Gm22378
ENSMUSG00000084738	ENSG00000221241	SNORD88A	Gm25809
ENSMUSG00000064772	ENSG00000222985	RNU2-14P	Gm25202
ENSMUSG00000064772	ENSG00000222627	RNU2-37P	Gm25202
ENSMUSG00000064772	ENSG00000222724	RNU2-63P	Gm25202
ENSMUSG00000096195	ENSG00000206772	RNU6-44P	Gm26138
ENSMUSG00000088804	ENSG00000251923	RNU6-276P	Gm24076
ENSMUSG00000084632	ENSG00000222357	RNU2-20P	Gm23887
ENSMUSG00000095792	ENSG00000239007	RNU7-95P	Gm26296
ENSMUSG00000088223	ENSG00000201161	RN7SKP10	Gm22600
ENSMUSG00000096249	ENSG00000200732	RNU6-194P	Gm24263
ENSMUSG00000065014	ENSG00000200340	RNU1-105P	Gm23509
ENSMUSG00000064495	ENSG00000206838	SNORA5A	Gm24313
ENSMUSG00000096205	ENSG00000200903	RNU1-42P	Gm22068
ENSMUSG00000076011	ENSG00000208013	MIR652	Mir652
ENSMUSG00000065610	ENSG00000284032	MIR29A	Mir29a
ENSMUSG00000106307	ENSG00000281394	SCARNA4	Gm23370
ENSMUSG00000106307	ENSG00000280466	SCARNA4	Gm23370
ENSMUSG00000088695	ENSG00000278010	AL627230.4	Gm22334
ENSMUSG00000088695	ENSG00000252014	AC107393.2	Gm22334
ENSMUSG00000088695	ENSG00000252199	AC018692.1	Gm22334
ENSMUSG00000088695	ENSG00000252724	CR769767.2	Gm22334
ENSMUSG00000088695	ENSG00000252133	AL590399.7	Gm22334
ENSMUSG00000088695	ENSG00000276094	AL591926.2	Gm22334
ENSMUSG00000065322	ENSG00000222327	RNU6-855P	Gm22055
ENSMUSG00000087791	ENSG00000252762	AC021863.1	Gm25969
ENSMUSG00000095097	ENSG00000207468	SNORA19	Gm23658
ENSMUSG00000088216	ENSG00000200799	RNU6-770P	Gm22080
ENSMUSG00000096041	ENSG00000212428	AC124303.1	Gm22511
ENSMUSG00000096041	ENSG00000212528	SNORD115-47	Gm22511
ENSMUSG00000092915	ENSG00000207605	MIR191	Gm24083
ENSMUSG00000084518	ENSG00000199683	RN7SKP185	Gm22477
ENSMUSG00000084518	ENSG00000275558	RN7SKP175	Gm22477
ENSMUSG00000084518	ENSG00000202473	RN7SKP81	Gm22477
ENSMUSG00000087775	ENSG00000252350	RPPH1-3P	Rprl2
ENSMUSG00000065770	ENSG00000206629	RNU1-63P	Gm22155
ENSMUSG00000077897	ENSG00000207938	MIR511	Mir511
ENSMUSG00000065493	ENSG00000284357	MIR34A	Mir34a
ENSMUSG00000088217	ENSG00000202431	RNU6-438P	Gm22079
ENSMUSG00000065438	ENSG00000199015	MIR377	Mir377
ENSMUSG00000065658	ENSG00000207065	RNU5A-2P	Gm23102
ENSMUSG00000105690	ENSG00000206952	SNORA50A	Gm26265
ENSMUSG00000065272	ENSG00000226572	SNORD57	Snord57
ENSMUSG00000065273	ENSG00000201785	SNORD117	Gm25128
ENSMUSG00000065273	ENSG00000223294	AC078962.1	Gm25128
ENSMUSG00000077220	ENSG00000212168	AC073875.1	Snord78
ENSMUSG00000076318	ENSG00000211520	MIR216B	Mir216b
ENSMUSG00000087912	ENSG00000238862	SNORD19B	Gm24916
ENSMUSG00000064619	ENSG00000207492	RNU6-713P	Gm23975
ENSMUSG00000106336	ENSG00000199077	MIR129-2	Mir129b
ENSMUSG00000093784	ENSG00000252200	AC243964.2	Gm22394
ENSMUSG00000093784	ENSG00000264452	AP001065.1	Gm22394
ENSMUSG00000065110	ENSG00000206979	SNORD61	Snord61
ENSMUSG00000089210	ENSG00000252409	AC099537.1	Gm23386
ENSMUSG00000064765	ENSG00000199546	AC121247.1	Gm26456
ENSMUSG00000064765	ENSG00000201371	AC016597.1	Gm26456
ENSMUSG00000094681	ENSG00000207214	RNU6-102P	Gm25740
ENSMUSG00000088123	ENSG00000223075	RN7SKP126	Gm25722
ENSMUSG00000092687	ENSG00000201823	SNORD48	Gm25744
ENSMUSG00000094364	ENSG00000212428	AC124303.1	Gm26059
ENSMUSG00000094364	ENSG00000212528	SNORD115-47	Gm26059
ENSMUSG00000089153	ENSG00000212359	RNU6-550P	Gm23579
ENSMUSG00000065559	ENSG00000207604	MIR206	Mir206
ENSMUSG00000065738	ENSG00000200422	AL590229.1	Gm24494
ENSMUSG00000065738	ENSG00000200706	AL033518.1	Gm24494
ENSMUSG00000065738	ENSG00000276643	AL627443.2	Gm24494
ENSMUSG00000089344	ENSG00000252963	RN7SKP147	Gm22664
ENSMUSG00000089344	ENSG00000251983	RN7SKP157	Gm22664
ENSMUSG00000065211	ENSG00000281910	SNORA50A	Gm26265
ENSMUSG00000105288	ENSG00000281159	AC112786.1	Gm25820
ENSMUSG00000094979	ENSG00000207332	RNU6-146P	Gm25253
ENSMUSG00000094979	ENSG00000252155	RNU6-941P	Gm25253
ENSMUSG00000094979	ENSG00000251819	RNU6-322P	Gm25253
ENSMUSG00000065293	ENSG00000199546	AC121247.1	Gm26124
ENSMUSG00000065293	ENSG00000201371	AC016597.1	Gm26124
ENSMUSG00000092875	ENSG00000240203	RN7SL567P	Gm22649
ENSMUSG00000088276	ENSG00000252599	RNU6-566P	Gm23125
ENSMUSG00000088276	ENSG00000253032	RNU6-299P	Gm23125
ENSMUSG00000092888	ENSG00000222501	RNU4-25P	Gm22122
ENSMUSG00000099106	ENSG00000276859	AL132655.7	Gm27899
ENSMUSG00000088183	ENSG00000223284	RNU6-195P	Gm22215
ENSMUSG00000065143	ENSG00000207267	RNU6-1081P	Gm25644
ENSMUSG00000065440	ENSG00000199150	MIRLET7G	Mirlet7g
ENSMUSG00000089177	ENSG00000200536	AL137790.1	Gm22435
ENSMUSG00000070178	ENSG00000199404	RNA5SP250	n-R5s71
ENSMUSG00000064582	ENSG00000223152	RNU4-88P	Gm25135
ENSMUSG00000065289	ENSG00000229686	SNORD56	Gm23650
ENSMUSG00000064777	ENSG00000206606	RNU6-1296P	Gm25204
ENSMUSG00000064525	ENSG00000201302	SNORA65	Gm26440
ENSMUSG00000088456	ENSG00000199622	RN7SKP20	Gm26372
ENSMUSG00000087938	ENSG00000207448	RNU6-520P	Gm26049
ENSMUSG00000095714	ENSG00000212428	AC124303.1	Gm26467
ENSMUSG00000095714	ENSG00000212528	SNORD115-47	Gm26467
ENSMUSG00000064688	ENSG00000199237	RNU6-834P	Gm25814
ENSMUSG00000088499	ENSG00000252839	RNU6-419P	Gm22654
ENSMUSG00000065481	ENSG00000199104	MIR346	Mir346
ENSMUSG00000098535	ENSG00000274491	AL132655.4	Gm27869
ENSMUSG00000064925	ENSG00000201980	AC103710.1	Snora62
ENSMUSG00000065659	ENSG00000223309	RNU6-722P	Gm23103
ENSMUSG00000065824	ENSG00000201793	RN7SKP9	Gm26315
ENSMUSG00000098423	ENSG00000276426	AC093298.1	Gm27993
ENSMUSG00000065657	ENSG00000207087	RNU6-242P	Gm25337
ENSMUSG00000077294	ENSG00000222365	SNORD12B	Gm24123
ENSMUSG00000065497	ENSG00000199092	MIR410	Mir410
ENSMUSG00000089255	ENSG00000252119	AP002956.1	Snora78
ENSMUSG00000089255	ENSG00000273587	SNORA78	Snora78
ENSMUSG00000089255	ENSG00000239005	AC097376.1	Snora78
ENSMUSG00000089255	ENSG00000238685	AC092365.1	Snora78
ENSMUSG00000089255	ENSG00000239008	AL590031.1	Snora78
ENSMUSG00000089255	ENSG00000238934	AL591806.3	Snora78
ENSMUSG00000099021	ENSG00000276168	RN7SL1	Rn7s1
ENSMUSG00000098825	ENSG00000275254	AC004386.4	Gm27285
ENSMUSG00000096863	ENSG00000252823	RNU6-148P	Gm22259
ENSMUSG00000092805	ENSG00000276757	RN7SL192P	Gm26461
ENSMUSG00000092805	ENSG00000239964	RN7SL748P	Gm26461
ENSMUSG00000087983	ENSG00000223075	RN7SKP126	Gm22225
ENSMUSG00000098477	ENSG00000240199	RN7SL520P	Gm27853
ENSMUSG00000098477	ENSG00000266128	RN7SL366P	Gm27853
ENSMUSG00000096028	ENSG00000212428	AC124303.1	Gm25984
ENSMUSG00000096028	ENSG00000212528	SNORD115-47	Gm25984
ENSMUSG00000088875	ENSG00000278010	AL627230.4	Gm25862
ENSMUSG00000088875	ENSG00000252014	AC107393.2	Gm25862
ENSMUSG00000088875	ENSG00000252199	AC018692.1	Gm25862
ENSMUSG00000088875	ENSG00000252724	CR769767.2	Gm25862
ENSMUSG00000088875	ENSG00000252133	AL590399.7	Gm25862
ENSMUSG00000088875	ENSG00000276094	AL591926.2	Gm25862
ENSMUSG00000087832	ENSG00000252931	RNU6-231P	Gm23958
ENSMUSG00000087832	ENSG00000207144	RNU6-1297P	Gm23958
ENSMUSG00000077597	ENSG00000252462	RNU6-113P	Gm26017
ENSMUSG00000093921	ENSG00000199697	RNU6-446P	Gm23864
ENSMUSG00000088938	ENSG00000252593	RNU6-1224P	Gm22989
ENSMUSG00000095969	ENSG00000200903	RNU1-42P	Rnu1a1
ENSMUSG00000064437	ENSG00000277108	SNORD49B	Snord49b
ENSMUSG00000089035	ENSG00000200484	RNU6-1244P	Gm22157
ENSMUSG00000089035	ENSG00000251957	RNU6-1095P	Gm22157
ENSMUSG00000065840	ENSG00000274309	SNORA71E	Gm25187
ENSMUSG00000087710	ENSG00000252725	RNU6-765P	Gm22235
ENSMUSG00000064542	ENSG00000207199	AC108863.1	Gm22980
ENSMUSG00000064542	ENSG00000281859	SNORD38B	Gm22980
ENSMUSG00000064542	ENSG00000207109	SNORD38C	Gm22980
ENSMUSG00000064542	ENSG00000252408	AC005787.1	Gm22980
ENSMUSG00000064542	ENSG00000200733	AL355821.1	Gm22980
ENSMUSG00000064550	ENSG00000222426	RNU2-50P	Gm24623
ENSMUSG00000094554	ENSG00000212428	AC124303.1	Gm22391
ENSMUSG00000094554	ENSG00000212528	SNORD115-47	Gm22391
ENSMUSG00000095402	ENSG00000212428	AC124303.1	Gm25585
ENSMUSG00000095402	ENSG00000212528	SNORD115-47	Gm25585
ENSMUSG00000088158	ENSG00000252906	SCARNA3	Scarna3b
ENSMUSG00000096280	ENSG00000199347	RNU5E-1	Gm23287
ENSMUSG00000089530	ENSG00000212184	RNU6-440P	Gm25163
ENSMUSG00000098525	ENSG00000273571	AC106873.2	Gm27365
ENSMUSG00000065847	ENSG00000207503	AP001610.1	Gm25188
ENSMUSG00000065847	ENSG00000206799	SNORA32	Gm25188
ENSMUSG00000065847	ENSG00000206776	AC021733.1	Gm25188
ENSMUSG00000065847	ENSG00000201384	AC007375.1	Gm25188
ENSMUSG00000064721	ENSG00000275043	SNORD25	Gm25855
ENSMUSG00000065643	ENSG00000252113	RNU6-523P	Gm25897
ENSMUSG00000065643	ENSG00000252903	RNU6-894P	Gm25897
ENSMUSG00000065643	ENSG00000252333	RNU6-964P	Gm25897
ENSMUSG00000088516	ENSG00000252452	RNU6-107P	Gm23044
ENSMUSG00000089164	ENSG00000212248	RNU6-750P	Gm24131
ENSMUSG00000089164	ENSG00000202159	RNU6-742P	Gm24131
ENSMUSG00000089164	ENSG00000251753	RNU6-75P	Gm24131
ENSMUSG00000077557	ENSG00000212498	SNORD86	Gm23706
ENSMUSG00000065406	ENSG00000199179	MIRLET7I	Mirlet7i
ENSMUSG00000094516	ENSG00000207002	AC020634.1	Gm24568
ENSMUSG00000093879	ENSG00000207367	RNU6-29P	Gm25457
ENSMUSG00000064742	ENSG00000200556	RNU6-103P	Gm24705
ENSMUSG00000094922	ENSG00000212428	AC124303.1	Gm24759
ENSMUSG00000094922	ENSG00000212528	SNORD115-47	Gm24759
ENSMUSG00000095628	ENSG00000212428	AC124303.1	Gm24585
ENSMUSG00000095628	ENSG00000212528	SNORD115-47	Gm24585
ENSMUSG00000070139	ENSG00000207758	MIR532	Mir532
ENSMUSG00000098572	ENSG00000277994	AC012531.7	Gm27443
ENSMUSG00000088925	ENSG00000212534	SNORD70	Gm24297
ENSMUSG00000080365	ENSG00000221303	SNORA79	Gm25776
ENSMUSG00000096391	ENSG00000206629	RNU1-63P	Gm23686
ENSMUSG00000077185	ENSG00000207500	SNORD102	Gm25091
ENSMUSG00000095530	ENSG00000207468	SNORA19	Snora19
ENSMUSG00000095763	ENSG00000232423	PRAMEF6	AC124606.2
ENSMUSG00000095763	ENSG00000204505	PRAMEF9	AC124606.2
ENSMUSG00000095763	ENSG00000204479	PRAMEF17	AC124606.2
ENSMUSG00000095763	ENSG00000237700	PRAMEF33	AC124606.2
ENSMUSG00000095763	ENSG00000204501	PRAMEF15	AC124606.2
ENSMUSG00000095763	ENSG00000204480	PRAMEF19	AC124606.2
ENSMUSG00000095763	ENSG00000229571	PRAMEF25	AC124606.2
ENSMUSG00000095763	ENSG00000116721	PRAMEF1	AC124606.2
ENSMUSG00000095763	ENSG00000204481	PRAMEF14	AC124606.2
ENSMUSG00000095763	ENSG00000243073	PRAMEF4	AC124606.2
ENSMUSG00000095763	ENSG00000270601	PRAMEF5	AC124606.2
ENSMUSG00000095763	ENSG00000187545	PRAMEF10	AC124606.2
ENSMUSG00000095763	ENSG00000279169	PRAMEF13	AC124606.2
ENSMUSG00000095763	ENSG00000116726	PRAMEF12	AC124606.2
ENSMUSG00000095763	ENSG00000280267	PRAMEF26	AC124606.2
ENSMUSG00000095763	ENSG00000239810	PRAMEF11	AC124606.2
ENSMUSG00000095763	ENSG00000274764	PRAMEF27	AC124606.2
ENSMUSG00000095763	ENSG00000204478	PRAMEF20	AC124606.2
ENSMUSG00000095763	ENSG00000182330	PRAMEF8	AC124606.2
ENSMUSG00000095763	ENSG00000120952	PRAMEF2	AC124606.2
ENSMUSG00000095763	ENSG00000204510	PRAMEF7	AC124606.2
ENSMUSG00000095763	ENSG00000279804	PRAMEF18	AC124606.2
ENSMUSG00000089188	ENSG00000278010	AL627230.4	Gm22942
ENSMUSG00000089188	ENSG00000252014	AC107393.2	Gm22942
ENSMUSG00000089188	ENSG00000252199	AC018692.1	Gm22942
ENSMUSG00000089188	ENSG00000252724	CR769767.2	Gm22942
ENSMUSG00000089188	ENSG00000252133	AL590399.7	Gm22942
ENSMUSG00000089188	ENSG00000276094	AL591926.2	Gm22942
ENSMUSG00000077497	ENSG00000212421	AL136367.1	Gm23593
ENSMUSG00000088344	ENSG00000199626	RNU6-989P	Gm22336
ENSMUSG00000092680	ENSG00000264294	SNORD55	Snord55
ENSMUSG00000077167	ENSG00000212443	SNORA53	Gm24119
ENSMUSG00000094567	ENSG00000212428	AC124303.1	Gm25230
ENSMUSG00000094567	ENSG00000212528	SNORD115-47	Gm25230
ENSMUSG00000065455	ENSG00000284190	MIR21	Mir21a
ENSMUSG00000065469	ENSG00000207705	MIR129-1	Mir129-1
ENSMUSG00000088351	ENSG00000238650	SNORD54	Gm24016
ENSMUSG00000098846	ENSG00000277124	AC004774.3	Gm27905
ENSMUSG00000088066	ENSG00000212510	RNU6-972P	Gm23253
ENSMUSG00000099133	ENSG00000273750	AC091179.3	Gm27605
ENSMUSG00000096346	ENSG00000207264	RNU6-15P	Gm22887
ENSMUSG00000080352	ENSG00000220988	SNORD88C	Gm26247
ENSMUSG00000094912	ENSG00000212428	AC124303.1	Gm26392
ENSMUSG00000094912	ENSG00000212528	SNORD115-47	Gm26392
ENSMUSG00000106425	ENSG00000215939	MIR873	Mir873b
ENSMUSG00000065159	ENSG00000206665	RNU6-573P	Gm25482
ENSMUSG00000098970	ENSG00000239007	RNU7-95P	Gm27549
